Sequence:1 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.6e-30 | Cond.E-value:4.2e-34 | Bit score:104.8
Sequence:14 | Start:7 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.3e-25 | Cond.E-value:2.8e-29 | Bit score:87.7
Sequence:15 | Start:3 | End:133 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.4e-38 | Cond.E-value:9.5e-43 | Bit score:131.2
Sequence:16 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-40 | Cond.E-value:7.8e-45 | Bit score:138.0
Sequence:17 | Start:2 | End:99 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-28 | Cond.E-value:8.6e-33 | Bit score:99.0
Sequence:18 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.1e-40 | Cond.E-value:3.2e-44 | Bit score:136.0
Sequence:19 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.6e-39 | Cond.E-value:5.2e-43 | Bit score:133.1
Sequence:20 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-38 | Cond.E-value:2.4e-42 | Bit score:130.9
Sequence:21 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.6e-39 | Cond.E-value:5.2e-43 | Bit score:133.1
Sequence:22 | Start:4 | End:130 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-25 | Cond.E-value:1.1e-29 | Bit score:90.0
Sequence:23 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-28 | Cond.E-value:4.2e-33 | Bit score:100.1
Sequence:24 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-28 | Cond.E-value:4.2e-33 | Bit score:100.1
Sequence:25 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-28 | Cond.E-value:4.2e-33 | Bit score:100.1
Sequence:26 | Start:4 | End:140 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.1e-32 | Cond.E-value:1.7e-36 | Bit score:112.0
Sequence:27 | Start:4 | End:140 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.1e-32 | Cond.E-value:1.7e-36 | Bit score:112.0
Sequence:28 | Start:4 | End:140 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.1e-32 | Cond.E-value:1.7e-36 | Bit score:112.0
Sequence:29 | Start:4 | End:147 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.9e-30 | Cond.E-value:7.2e-35 | Bit score:105.8
Sequence:30 | Start:4 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.5e-25 | Cond.E-value:4.1e-29 | Bit score:88.7
Sequence:31 | Start:13 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.6e-22 | Cond.E-value:2.2e-26 | Bit score:78.3
Sequence:32 | Start:4 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.8e-25 | Cond.E-value:2.3e-29 | Bit score:88.0
Sequence:33 | Start:4 | End:147 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6e-26 | Cond.E-value:2.3e-30 | Bit score:91.2
Sequence:34 | Start:12 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.5e-25 | Cond.E-value:5.1e-29 | Bit score:87.8
Sequence:35 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-26 | Cond.E-value:2e-30 | Bit score:92.3
Sequence:36 | Start:4 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-31 | Cond.E-value:1.3e-35 | Bit score:108.2
Sequence:37 | Start:4 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-23 | Cond.E-value:1.2e-27 | Bit score:82.4
Sequence:38 | Start:4 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-23 | Cond.E-value:1.2e-27 | Bit score:82.4
Sequence:39 | Start:4 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-21 | Cond.E-value:1e-25 | Bit score:77.1
Sequence:40 | Start:7 | End:144 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.7e-24 | Cond.E-value:6.6e-29 | Bit score:86.5
Sequence:41 | Start:4 | End:139 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.1e-24 | Cond.E-value:4.8e-28 | Bit score:84.7
Sequence:42 | Start:4 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.3e-23 | Cond.E-value:3.2e-27 | Bit score:81.0
Sequence:43 | Start:4 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:8.3e-23 | Cond.E-value:3.2e-27 | Bit score:81.0
Sequence:44 | Start:18 | End:159 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:9.1e-21 | Cond.E-value:3.6e-25 | Bit score:74.4
Sequence:45 | Start:4 | End:141 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.4e-25 | Cond.E-value:2.1e-29 | Bit score:88.1
Sequence:46 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:47 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:48 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:49 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:50 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-40 | Cond.E-value:5e-45 | Bit score:138.6
Sequence:51 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:52 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.9e-41 | Cond.E-value:1.1e-45 | Bit score:140.7
Sequence:53 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:54 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.9e-41 | Cond.E-value:1.1e-45 | Bit score:140.7
Sequence:55 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-39 | Cond.E-value:6.2e-43 | Bit score:132.8
Sequence:56 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:57 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:58 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-42 | Cond.E-value:1.9e-46 | Bit score:143.2
Sequence:59 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:60 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:61 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:62 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:63 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:64 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-43 | Cond.E-value:4.1e-47 | Bit score:147.3
Sequence:65 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:66 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:67 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:68 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:69 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:70 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-43 | Cond.E-value:4.1e-47 | Bit score:147.3
Sequence:71 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:72 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.9e-41 | Cond.E-value:1.1e-45 | Bit score:140.7
Sequence:73 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:74 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-43 | Cond.E-value:2.2e-47 | Bit score:148.2
Sequence:75 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-41 | Cond.E-value:1.2e-45 | Bit score:140.6
Sequence:76 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:77 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.9e-41 | Cond.E-value:1.1e-45 | Bit score:140.7
Sequence:78 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-42 | Cond.E-value:1.9e-46 | Bit score:143.2
Sequence:79 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:80 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:81 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-43 | Cond.E-value:4.1e-47 | Bit score:147.3
Sequence:82 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:83 | Start:7 | End:96 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-21 | Cond.E-value:2.8e-25 | Bit score:74.8
Sequence:84 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-42 | Cond.E-value:1.9e-46 | Bit score:143.2
Sequence:85 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-41 | Cond.E-value:4.5e-46 | Bit score:142.0
Sequence:86 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-41 | Cond.E-value:8.7e-46 | Bit score:141.1
Sequence:87 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-41 | Cond.E-value:8.7e-46 | Bit score:141.1
Sequence:88 | Start:18 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5e-42 | Cond.E-value:2e-46 | Bit score:143.2
Sequence:89 | Start:11 | End:140 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.4e-40 | Cond.E-value:9.6e-45 | Bit score:137.7
Sequence:90 | Start:11 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.3e-38 | Cond.E-value:1.7e-42 | Bit score:130.4
Sequence:91 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-38 | Cond.E-value:6.2e-42 | Bit score:129.6
Sequence:92 | Start:14 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.9e-41 | Cond.E-value:1.1e-45 | Bit score:140.7
Sequence:93 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.1e-41 | Cond.E-value:1.2e-45 | Bit score:140.6
Sequence:94 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.3e-38 | Cond.E-value:5.2e-43 | Bit score:132.1
Sequence:95 | Start:7 | End:96 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-21 | Cond.E-value:2.8e-25 | Bit score:74.8
Sequence:96 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.8e-42 | Cond.E-value:1.9e-46 | Bit score:143.2
Sequence:97 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-41 | Cond.E-value:4.5e-46 | Bit score:142.0
Sequence:98 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-43 | Cond.E-value:4.1e-47 | Bit score:147.3
Sequence:99 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.3e-39 | Cond.E-value:2.6e-43 | Bit score:134.0
Sequence:100 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3.8e-42 | Cond.E-value:1.5e-46 | Bit score:143.6
Sequence:101 | Start:18 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5e-42 | Cond.E-value:2e-46 | Bit score:143.2
Sequence:102 | Start:7 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-43 | Cond.E-value:2.2e-47 | Bit score:148.2
Sequence:103 | Start:7 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.2e-41 | Cond.E-value:8.7e-46 | Bit score:141.1
Sequence:104 | Start:11 | End:140 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.4e-40 | Cond.E-value:9.6e-45 | Bit score:137.7
Sequence:105 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-38 | Cond.E-value:6.2e-42 | Bit score:129.6
Sequence:106 | Start:12 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3e-43 | Cond.E-value:4.7e-47 | Bit score:147.1
Sequence:107 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-38 | Cond.E-value:6.2e-42 | Bit score:129.6
Sequence:108 | Start:11 | End:95 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-20 | Cond.E-value:2e-24 | Bit score:73.0
Sequence:109 | Start:26 | End:154 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.4e-39 | Cond.E-value:2.1e-43 | Bit score:133.4
Sequence:110 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-39 | Cond.E-value:6.2e-43 | Bit score:132.8
Sequence:111 | Start:17 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.8e-43 | Cond.E-value:2.9e-47 | Bit score:147.8
Sequence:112 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.7e-41 | Cond.E-value:1.8e-45 | Bit score:140.0
Sequence:113 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-41 | Cond.E-value:4.5e-46 | Bit score:142.0
Sequence:114 | Start:12 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:3e-43 | Cond.E-value:4.7e-47 | Bit score:147.1
Sequence:115 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-38 | Cond.E-value:6.2e-42 | Bit score:129.6
Sequence:116 | Start:11 | End:95 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-20 | Cond.E-value:2e-24 | Bit score:73.0
Sequence:117 | Start:26 | End:154 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.4e-39 | Cond.E-value:2.1e-43 | Bit score:133.4
Sequence:118 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.9e-39 | Cond.E-value:6.2e-43 | Bit score:132.8
Sequence:119 | Start:17 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.8e-43 | Cond.E-value:2.9e-47 | Bit score:147.8
Sequence:120 | Start:2 | End:128 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.7e-41 | Cond.E-value:1.8e-45 | Bit score:140.0
Sequence:121 | Start:2 | End:131 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-41 | Cond.E-value:4.5e-46 | Bit score:142.0
Sequence:122 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.4e-24 | Cond.E-value:5.5e-29 | Bit score:86.8
Sequence:123 | Start:12 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.5e-39 | Cond.E-value:9.8e-44 | Bit score:134.4
Sequence:124 | Start:12 | End:142 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.5e-39 | Cond.E-value:9.8e-44 | Bit score:134.4
Sequence:125 | Start:13 | End:145 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:5.5e-42 | Cond.E-value:6.5e-46 | Bit score:143.0
Sequence:126 | Start:2 | End:132 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.3e-42 | Cond.E-value:7.4e-46 | Bit score:142.8
Sequence:127 | Start:7 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.5e-41 | Cond.E-value:5.9e-46 | Bit score:141.6
Sequence:128 | Start:2 | End:132 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.3e-42 | Cond.E-value:7.4e-46 | Bit score:142.8
Sequence:129 | Start:2 | End:130 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.2e-41 | Cond.E-value:8.4e-45 | Bit score:139.4
Sequence:130 | Start:2 | End:108 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:6.2e-34 | Cond.E-value:4.8e-38 | Bit score:117.0
Sequence:131 | Start:5 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-25 | Cond.E-value:2.8e-29 | Bit score:87.7
Sequence:132 | Start:4 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-29 | Cond.E-value:3.1e-33 | Bit score:102.0
Sequence:133 | Start:31 | End:163 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.6e-20 | Cond.E-value:6.2e-25 | Bit score:73.6
Sequence:134 | Start:5 | End:137 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7e-23 | Cond.E-value:8.3e-27 | Bit score:81.3
Sequence:135 | Start:5 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.1e-28 | Cond.E-value:8.5e-33 | Bit score:100.0
Sequence:136 | Start:4 | End:148 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-26 | Cond.E-value:2.3e-30 | Bit score:92.7
Sequence:137 | Start:4 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.4e-23 | Cond.E-value:5.8e-27 | Bit score:81.2
Sequence:138 | Start:4 | End:135 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.6e-22 | Cond.E-value:1e-26 | Bit score:79.4
Sequence:139 | Start:6 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.8e-19 | Cond.E-value:6.1e-23 | Bit score:68.2
Sequence:140 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-30 | Cond.E-value:7.8e-35 | Bit score:105.7
Sequence:141 | Start:30 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.8e-28 | Cond.E-value:7.1e-33 | Bit score:99.3
Sequence:142 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-30 | Cond.E-value:7.8e-35 | Bit score:105.7
Sequence:143 | Start:30 | End:152 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1.8e-28 | Cond.E-value:7.1e-33 | Bit score:99.3
Sequence:144 | Start:4 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:7.6e-31 | Cond.E-value:3e-35 | Bit score:107.0
Sequence:145 | Start:5 | End:146 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2e-30 | Cond.E-value:7.8e-35 | Bit score:105.7
Sequence:146 | Start:4 | End:143 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:2.7e-32 | Cond.E-value:1e-36 | Bit score:111.7
Sequence:147 | Start:4 | End:149 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:4.6e-27 | Cond.E-value:1.8e-31 | Bit score:94.8
Sequence:148 | Start:12 | End:138 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-22 | Cond.E-value:4e-27 | Bit score:80.7
Sequence:149 | Start:4 | End:156 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-29 | Cond.E-value:4e-34 | Bit score:103.4
Sequence:150 | Start:4 | End:156 | ID:PF00241.26 | Description:Cofilin/tropomyosin-type actin-binding protein | E-value:1e-29 | Cond.E-value:4e-34 | Bit score:103.4
Sequence:151 | Start:16 | End:100 | ID:PF10545.16 | Description:Alcohol dehydrogenase transcription factor Myb/SANT-like | E-value:3.8e-19 | Cond.E-value:5.9e-23 | Bit score:69.3
Sequence:151 | Start:9 | End:99 | ID:PF13837.13 | Description:Myb/SANT-like DNA-binding domain | E-value:5.4e-06 | Cond.E-value:8.5e-10 | Bit score:27.2
